word,start,end,sentence,sense,pos_tag
variety,70,77,in a 1-quart saucepan combine the lemon juice and water and bring the variety to a simmer,2,NN
variety,13,20,add mushroom variety and peel blanched onion to the chicken and cook for another 5 minute,2,NN
variety,5,12,this variety harden sooner than that cut with wood alcohol and do not have its pungent smell which be so irritating to most people,2,NN
variety,16,23,by maintain the variety in a at an appropriate temperature the constituent have the low boiling temperature can be separate out while other remain in the liquid state,2,NN
variety,15,22,spoon meatball variety over spaghetti and sprinkle with 1 teaspoon grate parmesan cheese,2,NN
variety,55,62,well we try a lot of method and material but we find a variety of tobacco and tine oil make the most visible smoke,2,NN
variety,98,105,in brazil as in the united state a new breed of zebu know as the indubrasil have originate from a variety of zebu import into brazil during the nineteenth and the early part of the twentieth century,2,NN
variety,79,86,cate 's way of steady herself against the sudden chemical change in the family variety have be to assumethe more ferocious property of the vanish mother while lydia the baby have retreat into the quiet neat shell of herself,2,NN
variety,5,12,pour variety through fine wire-mesh strainer press with back of a spoon against side of strainer to squeeze out sauce discard solid,2,NN
variety,45,52,gradually blend water into flour add to corn variety,2,NN
variety,10,17,he feel a variety of jealousy and happiness,2,NN
variety,11,18,after this variety have dry she accentuate the marks with shadow and highlight,2,NN
variety,40,47,it be now know however that starch be a variety of two substance call amylose and amylopectin,2,NN
variety,54,61,the ration can thereforebe preparation of concentrate variety usually,2,NN
variety,19,26,you sho ' get some variety there if they all start work at the same time i will say that much mister sam concede admiringly,2,NN
variety,28,35,new york be such a wondrous variety of color class dress and activity i have see many city more beautiful and more exotic but none more diverse,2,NN
variety,60,67,forty-eight hour in a two-bedroom cottage that smell like a variety of mothballs and apple,2,NN
variety,25,32,actually they be a naive variety of rousseau locke and pascal but their,2,NN
variety,77,84,## there will be a small farewell party at san clemente this week probably a variety of tear and force gaiety,2,NN
variety,146,153,fat 9ig carb omg chol 360mg sod i ig fiber 25g sugar wine suggestion a meridian or columbia crest gewu'rz-traminer not too sweet to overpower the variety of both dry and fresh apricot as well as raisin would work well with this nutty couscous dish,2,NN
variety,151,158,n98 in place such as mexico city lagos and caracas this could lead to the creation of risk ghetto neighborhood that be strongly vulnerable to a hybrid variety of natural and technological <nul>,2,NN
variety,60,67,black people milling along the sidewalk stare at him with a variety of awe and deference,2,NN
variety,60,67,in blender at low speed puree onethird of roasted vegetable variety with 1 can broth,2,NN
variety,12,19,they play a variety of traditional gypsy song with name like fly my little swallow 1 do not owe anybody anything and the left leg of my dog be ache nineteenth-century encore from the classical repertory like the mcditation from thais and modern pop song like moscow night,2,NN
variety,24,31,use a fork stir the egg variety into the flour variety,2,NN
variety,47,54,use a fork stir the egg variety into the flour variety,2,NN
variety,102,109,as it would be most disagreeable for me to have to detonate this glycerine treat recently with a cold variety of concentratednitric and sulphuric acid,2,NN
variety,38,45,stir dry ingredient into sugar-butter variety until well blend,2,NN
variety,24,31,the resultant calcine a variety of the sulfide and oxide of copper and iron be feed to a reverberatory furnace together with limestone and/or silica as flux,2,NN
variety,7,14,with a variety of charm and inviolable authority the myrtle man shake a finger remark the best stuff be always save harry,2,NN
variety,68,75,drop in egg and mix with a pastry blender or fork until crumbly the variety will resemble streusel,2,NN
variety,156,163,that the herzes ' live be often more threaten than my own have lead me on occasion to believe that their live be also more serious than my own whatever the variety of insight and bafflementthat have produce in me such an idea it contribute also to the quality of my affection and anxiety where these two needy people be concerned,2,NN
variety,93,100,shake excess water from noodle and arrange 6 noodle over meat sauce top with half of ricotta variety and 1 package mozzarella cheese slice,2,NN
variety,15,22,toxaphene be a variety of isomeric substance with a composition approximate <nul>,2,NN
variety,9,16,bag corn variety and chicken in a pot and cover with water mix well,2,NN
variety,40,47,stranger be rather shy of this peculiar variety but it be a favorite dish with the native and to this day be make by some family many time through the winter season,2,NN
variety,100,107,he envision widen it to four lane use a context-sensitive approach and reinvent the corridor with a variety of small retail business restaurant with outdoor seating and walkable residential center,2,NN
variety,72,79,as each piece be cut shingle the slice in row on top of the brown sugar variety,2,NN
variety,63,70,add a few millilitre of concentrated ammonium hydroxide to the variety to make it strongly alkaline and then leave it undisturbed for one hour,2,NN
variety,2,9,a variety of equal quantity of limewater and sugar water will also prove beneficial,2,NN
variety,64,71,combine bake powder salt and remaining cup flour whisk into egg variety,2,NN
variety,15,22,both book be a variety of autobiography revolutionary manifesto and the story of the heroic struggle of an armed minority to dominate the street,2,NN
variety,18,25,gently simmer the variety long enough for the meat glace to dissolve,2,NN
variety,37,44,combination of extraction last ditch variety anything i could think of with the slight hope of save life,2,NN
variety,43,50,french toast dip 2 slice raisin bread in a variety of 1 egg and 1 tablespoon fat-free milk,2,NN
variety,147,154,first you take the skin of the head off care-fully let be skip that phase of the operation jaeger hear stephany say and honerkamp go on and then a variety of mince pig 's liver chopped applesand onion rosemary and sage be mold into the empty hood restore the boar 's head to its normal shape,2,NN
variety,192,199,back before katrina - everything these day be reckon bk or ak as it have once be antebellum or postbellum - back in those distant time madame lott have be jim 's private oracle consult with a variety of faith and irony,2,NN
variety,172,179,the jet velocity induce large amount of outside air up to 170 percent to be draw into the plume provide immediate relief of odor perception and send the odor laden gas/air variety high into the atmosphere,2,NN
variety,51,58,combine hot drain noodle spinach garlic turkey-ham variety and cottage cheese in skillet over very low heat,2,NN
variety,80,87,that sort of thing do n't happen to us those who think it unwise or unfair or a variety of both that be to say unenglish to seem in suspect a potential enemy or who hope it might one day turn him into a friend if they seem not to do so those who believe that to say that be be inevitable be the way to make it inevitable and those who say you could hardly blame hitler for be suspicious of the british foreign office,2,NN
variety,13,20,spoon potato variety into a lightly greased 13- x 9-inch baking dish,2,NN
variety,66,73,my father 's professional wig have detach and lay scalp-up in the variety of dust and stomach material,2,NN
variety,40,47,but the visitor can see at a glance the variety of race,2,NN
variety,14,21,add the flour variety 1 tablespoon lemon juice,2,NN
variety,100,107,next the hide go into the tanning pit hole dig in the earth and fill with a darkbrown creamy-foamed variety of oak,2,NN
variety,89,96,the pressure of each gas be know as the partial pressure while the total pressure of the variety of gas be equal to the sum of the partial pressure <nul> a sum of the separate pressure which each would exert if it alone occupy the whole volume,2,NN
variety,52,59,i say i do n't take it and then this look that be a variety of disgust and disdain come over his face,2,NN
variety,33,40,becker 's expression bear a hunt variety of anger and remorse as he recount ted 's tale,2,NN
variety,103,110,when all egg be incorporate increase speed of mixer to medium-high and whip for 2 minute until the egg variety increase slightly in volume,2,NN
variety,23,30,transfer the chocolate variety to the prepare loaf pan cover with plastic wrap directly on the surface of the chocolate and refrigerate 2 hour or until very firm,2,NN
variety,28,35,use equal portion of mousse variety to fill artichoke shell pile it in and smooth it <nul>,2,NN
variety,61,68,he would solidify his fine intention by keep beside him this variety of frailty gravity spontaneity and passion,2,NN
variety,115,122,the carburetor have a small chamber interconnect with the ex- // haust manifold in which a small amount of gas-air variety and warm exhaust be expose to a special spark plug activate by the ungrounded end of the engine 's ignition coil,2,NN
variety,95,102,meat thermometer insert in thickest portion register 165 baste occasionally with cup cranberry variety,2,NN
variety,6,13,place variety in a medium saucepan over medium heat and bring to a delicate simmer,2,NN
variety,76,83,see section xixg 1 and xxb for problem involved in develop complete mineral variety to be self-fed to horse,2,NN
variety,55,62,mound couscous on large platter surround with mushroom variety and garnish with olive and remaining julienned lemon if use,2,NN
variety,19,26,and he list horrid variety of both language he claim to have overhear wrong use of word and so forth,2,NN
variety,15,22,she dish out a variety of current and vintage tune that leave her soldout audience on cloud nine,2,NN
variety,238,245,the whole room roar in hilarity mark the high point in the conversation after which time the roomful of brilliant creative and weird mind latch onto other emerge subject and the theory of how thing have change evaporate into the stultify variety of smoke and air and body odor,2,NN
variety,50,57,but as long as the system put a premium on a nice variety of noncontroversialness and colorless semicompetence our foreign policy will be sporadic uneven and defensive,2,NN
variety,47,54,136 lawrence sandershe make the sauce a tingly variety of mayonnaise ketchup mustard tabasco salt pepper garlic powder and parsley flake,2,NN
variety,48,55,for a matching filler it be necessary to make a variety use sawdust collect from the same wood be repair,2,NN
variety,8,15,of this variety a tumblerful should be administer every two or three minute in order to produce voriting,2,NN
variety,33,40,but you can generally count on a variety of acid solution cyanides nitrides arsenic compound organic,2,NN
variety,89,96,when we extract uranium ore from the earth and purify it we get a heavy metal which be a variety of two kind of uranium atom two isotope which we call uranium 235 and uranium 238,2,NN
variety,38,45,and spit it out almost as soon as the variety touch her mouth,2,NN
variety,24,31,the tube be fill with a variety of an inert gas such as argon and a small amount of a gas such as methane or alcohol,2,NN
variety,4,11,the variety of glucose and fructose produce by the inversion be call invert-sugar and have be know in the form of honey for many century,2,NN
variety,32,39,top with one-third tomato sauce variety and half of eggplant,2,NN
variety,22,29,soak the wick in this variety for about six hour,2,NN
variety,130,137,vivien merchant mrs.- harold pinter who be to pinter 's play what clara schumann be to her husband 's music play the woman with a variety of hauteur and girlish romanticism,2,NN
variety,85,92,while the ngo brother be essentially pathetic figure their regime be an indissoluble variety of nightmare and farce,2,NN
variety,29,36,the very first sentence of a variety of life offer a freshman howler an autobiography be only ' a variety of may contain less error of fact than a biography but it be of necessity more selective .... for less read fewer,3,NN
variety,98,105,the very first sentence of a variety of life offer a freshman howler an autobiography be only ' a variety of may contain less error of fact than a biography but it be of necessity more selective .... for less read fewer,3,NN
variety,91,98,according to everything tiercel have read back in karahelanderialigor high magic have just variety of .... die out slowly in the century follow the great flowering,3,NN
variety,47,54,if he do n't love you you could have shoot any variety of a lion,3,NN
variety,18,25,try to shape some variety of life for herself,3,NN
variety,2,9,a variety of plan that make a routine out of something that really be n't a routine so that the child will n't know you have go to all that trouble to arrange some togetherness in their live,3,NN
variety,5,12,that variety of wry off-the-wall almost-insider humor be what client know riney will deliver,3,NN
variety,74,81,they visit the cold room which be very long and massively shelve behind a variety of airlock,3,NN
variety,15,22,and yet a warm variety of woman almost tediously female as affectionate as she be affect,3,NN
variety,48,55,particularly in the editorial which be indeed a variety of editor 's speech address to the newspaper 's reader,3,NN
variety,35,42,we have try money and clothes as a variety of reward but it be not enough,3,NN
variety,51,58,he grasp her by the elbow bend her toward him in a variety of dip and lay one right on her just like in go with the wind,3,NN
variety,104,111,and that their social live will continue to be vigorous and sane will continue to include people of all variety and all age,3,NN
variety,5,12,this variety of evolution however natural it may appear be not without problem for the new grievance-group executive class,3,NN
variety,100,107,i have do three film with him and i know he can be very scary to people but if you know him it just variety of go by you,3,NN
variety,13,20,these be the variety of thing i be hope to purchase when i arrive in their country,3,NN
variety,31,38,the kind where you miss people variety of in advance,3,NN
variety,80,87,the word new orleans vanish from the scrim and be replace with seattle and some variety of music begin,3,NN
variety,15,22,thanks to some variety of psychic stopwatch he can give a,3,NN
variety,87,94,a space station that remain in orbit for decade however be a fly object of a different variety entirely culbertson argue,3,NN
variety,57,64,very high with fat carve leg it be cover all over with a variety of wrinkly cloak heavy maroon velvet tasseled at the corner a royal drapery that might have be snatch from the boudoir of a noblewoman of the tsar 's court,3,NN
variety,24,31,we be nut after all the variety of magazine that sit around,3,NN
variety,177,184,the precancerous condition be one involve a certain amount of slight chronic inflammation ..... a slight cause of irritation -- a slight disappointment an unexpected delay some variety of mild rebuff a frustration -- be commonly accompany by pull out a cigarette and get a little compensation for life 's minor ill in that way,3,NN
variety,126,133,compensation be a form of conflict management common in melanesian society in which an aggrieved party demand payment of some variety from another party,3,NN
variety,10,17,it be the variety of thing that we think might happen as this information be release and democratize,3,NN
variety,9,16,at us -- variety of make us feel lighter at least,3,NN
variety,98,105,she feel then for really the first time almost paralyze panic beyond help herself no long able to variety out the priority,3,VB
variety,276,283,we will do in all kick situation two to keep track of the combination of score so that i know for example when it might be unwise to settle for a field goal three to note certain change we should make in our offensive and defensive strat- egies at halftime and four to act as variety of a cheerleader to keep the in- dividual player up,3,NN
variety,30,37,i ought to be do more of that variety of thing myself,3,NN
variety,127,134,well sir i do n't know him hardly at all just a week you see or nine day to be exact but always before he be well a real tense variety of guy,3,NN
variety,14,21,// there be a variety of balance in end this flush tour on a spiritual note in keep with the tone of its beginning,3,NN
variety,97,104,the light be be with me and whenever i see something that be difficult like you and mom fight he variety of pause the movie and love me,3,NN
variety,269,276,have put forward this hypothetical challenge to his own deeply hold theoretical commitment danto then try to explain the uncanny cross-cultural uniformity it be possible of course that everyone 's concept of art be form by calendar even in kenya which now constitute a variety of paradigm of what everyone think of when they think of art,3,NN
variety,26,33,and be brim with the same variety of spooky confidence,3,NN
variety,46,53,among other investigator who have report this variety of variation be mannix 1960 feigenbaum 1963 and uzgiris 1964,3,NN
variety,50,57,federal have consistently use information of this variety to develop a marketing strategy to combat competitive threat,3,NN
variety,60,67,in the best court r * xxn manner i decide top127move to the variety of offense that stop entirely the prosecution 's manoeuvre,3,NN
variety,86,93,in his arm lingering on it long enough that stark brace himself for an attack of some variety,3,NN
variety,18,25,he make himself a variety of go-between you know and take thirty percent,3,NN
variety,26,33,henry james dusty a dusty variety of dough,3,NN
variety,57,64,by study the four curve line dr.-i latham think he could variety out the temperature,3,VB
variety,20,27,man have be in some variety of accident involve acid fire and explosive and then have be piece back together,3,NN
variety,59,66,include be the follow- ing shot 69 veldini pull up to some variety of work site,3,NN
variety,50,57,now we be get into real international banking the variety of banking that make it possible for citicorp to lend $2 billion to a shaky country like brazil,3,NN
variety,14,21,that open all variety of avenue do n't it,3,NN
variety,104,111,maybe he ask because he get an answer from the grin freckle face bend over him as he lay armorless on a variety of pallet under the taut stellene roof of a moontent,3,NN
variety,0,7,variety of relive the experience of have be in vegas,3,NN
variety,74,81,snopes do n't come up with pane o1 glass for them that be different color variety of a cross betweer carnival glass and the variety you see in church window,3,NN
variety,124,131,snopes do n't come up with pane o1 glass for them that be different color variety of a cross betweer carnival glass and the variety you see in church window,3,NN
