word,start,end,sentence,sense,pos_tag,original_sense
regard,48,54,on its anniversary last week most west berliner regard official appeal to refrain from violent futile demonstration,1,VBP,heed
regard,96,102,be we condemn to suffer the holocaust of nuclear war because our leader and our media refuse to regard the lesson of history,1,VB,heed
regard,49,55,other in favor of an early election take special regard of what they,1,NN,heed
regard,85,91,the recipe be a bit daunting for a home cook but humphries have one important tip to regard in other preparation include the peeling when make sauce strain them out later to get the full benefit of the fruit flavor,1,VB,heed
regard,16,22,why have no one regard his warning when there be time,1,NN,heed
regard,179,185,he glide from rock to rock like the champion mountain climber he also once be while i muddle wildly totter like a top at the end of its spin tangle my fishing line and attempt to regard my instructor,1,VB,heed
regard,86,92,because the satire 's target be too entertaining to seem reprehensible nobody pay any regard to the fact that the show be supposed to be a slam at narcissism not a brochure for it,1,NN,heed
regard,65,71,typical of a hero approach the crisis harkless pay the helper no regard,1,NN,heed
regard,122,128,the cry that rise and fall against the outside of her door might as well have be a wail of wind because here no one would regard them,1,VB,heed
regard,167,173,but if as be rumor the report also call for spend up to $3 billion next year to provide new job for ghetto people to help prevent recurrent riot will mr.- johnson pay regard,1,NN,heed
regard,61,67,at howard university in washington black law student quietly regard a federal judge 's order to end their lock-in call to obtain more voice in administrative decision,1,VBZ,heed
regard,62,68,already there my mother be too catch up in feeling to pay any regard,1,NN,heed
regard,66,72,loftus say the tax mess have teach her a lesson she say should be regard by,1,VBN,heed
regard,0,6,regard one that reflect familiarity elbryan note think again that there might be a family relation here,2,VB,gaze
regard,101,107,then the smile fall from his narrow face and he flop forward and fix the big detective with a steely regard,2,NN,gaze
regard,63,69,the color grinder be twirl his pestle idly in the air while he regard over his shoulder at the scene,2,VBZ,gaze
regard,103,109,though still shake by the peculiar feel that linger in her spine and the directness of the stranger 's regard louisa smile perfunctorily at her employer,2,NN,gaze
regard,93,99,anna force herself to walk at a steady pace through the square although she could feel their regard on her back hot and demand as the july sun stante,2,NN,gaze
regard,88,94,he bite hard against his excitement and whisper hoarsely as carefully as he could again regard at this beast this oracle of god say again what the woman say,2,VB,gaze
regard,49,55,left victorian leatherbound book a mercury-glass regard ball french marble ball and a slab of stone with a mirror affix to its surface make an eye-catching arrangement on a living-room side table,2,NN,gaze
regard,9,15,the lady regard solemnly into the girl 's eye while the girl 's own eye meet her regard shyly or even perhaps seem slightly downcast,2,NN,gaze
regard,81,87,the lady regard solemnly into the girl 's eye while the girl 's own eye meet her regard shyly or even perhaps seem slightly downcast,2,NN,gaze
regard,53,59,joe louis be look strong smooth glisten chest fierce regard arm pump like oil rig,2,NN,gaze
regard,72,78,it seem that there be something trap far down at the bottom of his mild regard like a prisoner look up through the grill of an oubliette at the sky,2,NN,gaze
regard,12,18,some simply regard at the floor and tap their foot,2,NN,gaze
regard,13,19,upon thor he regard intently and then address him say it may be that thou art strong than thou dost seem,2,VBZ,gaze
regard,14,20,the patrolman regard at her a moment then patrolman may i see your license,2,NN,gaze
regard,8,14,jill 's regard swivel from her brother to her mother,2,NN,gaze
regard,4,10,his regard brush her face from beneath thick dark lash,2,NN,gaze
regard,47,53,"some 15,000 member of the media be train their regard on this four-day convention roughly three for every delegate all try to squeeze some news out of an event that have all",2,NN,gaze
regard,81,87,behind the t-shaped slit in the'i visor eye glint they seem to meet the smith 's regard and return it with the same even scrutiny,2,NN,gaze
regard,4,10,her regard seem to be direct beyond the reflection in the mirror he begin to wonder whether she be perform for the benefit of someone else whether he and the woman be be watch from the other side of the mirror,2,NN,gaze
regard,44,50,he come up look in the mirror avoid his own regard as in the mirror the door open and a man come partway in -- now it be dr.-i noyle,2,NN,gaze
regard,5,11,as i regard at his muscular body toffee-colored skin and handsome face i think maybe just maybe i be ready for more than just casual sex with no commitment,2,NN,gaze
regard,26,32,she light a cigarette and regard across the restaurant,2,NN,gaze
regard,49,55,alsrod thant put her small brown hand behind her regard up at the crystal column,2,NN,gaze
regard,13,19,she turn her regard back to the fire,2,NN,gaze
regard,9,15,then her regard narrow on the low v-cut of carolyn 's fit velvet pant where three blue dolphin swim in a circle around her belly button,2,NN,gaze
regard,37,43,he crack his palm with a razor strop regard up once more at peter,2,VB,gaze
regard,17,23,but leigh have a regard as alert and sexy as any in movie,2,NN,gaze
regard,40,46,when he take off his right shoe my wife regard at his arch the long slender second toe rise up over the first,2,NN,gaze
regard,9,15,the girl regard at him smile for a silent moment,2,NN,gaze
regard,3,9,he regard down at her dirty-blond hair hang over blue eye pale cheek shadow by a few day stubble,2,VB,gaze
thick,136,141,the large beam to the truck sing a few song including some that have be write by buddy holly already dead four and a half year his body thick with that of a beechcraft bonanza on the lonely freeze field of a farm between clear lake iowa and fargo north dakota and we unscrew screw unnailed nail untie rope coil up a few mile of electric cable and the next time i look toward the ferri wheel i discover that it have be eat up entirely not even one small bone remain,1,NN,compact
thick,10,15,territory thick model |p239jack would probably not have budge it not with the stream 's fairly stiff current work against him,1,JJ,compact
thick,97,102,the berkeley lab and stanford university run a successful halogen-exchange program hand out free thick fluorescent torchieres to every student who turn in his or her halogen,1,NN,compact
thick,223,228,// as for those big rubber stamp store use to make line for a clerk to write in your driver ' s license number telephone number credit card number and any other number they can think of those stamp be go to have to be more thick too,1,JJ,compact
thick,48,53,52 technology the union of the computer and the thick disc put the world on a silver platter,1,JJ,compact
thick,87,92,nadine listen as regan explain to her about the fashion show and the urgent need for a thick disc player,1,NN,compact
thick,180,185,after the warrior p94 fall to diana 's bullet the circle widen to still great proportion and a few minute later the indian withdraw out of effective revolver range and gather in a thick group where the three on the hillock could see them gesticulate and talk excitedly,1,NN,compact
thick,60,65,two week later during the preakness in baltimore the social thick be the same one observe in louisville and new york,1,NN,compact
thick,143,148,best new innovation get close the convergent lens optical system engineering close feature find only on the pentax papilio 6.5x2.1 and 8.5x2.1 thick binoculars allow the viewer to focus on object as close as 18 inch,1,JJ,compact
thick,24,29,the child have an agile thick body and heavy fair straight stick-straight bowl-cut hair that could n't completely hide its too-large ear but it do n't confront the viewer her sam directly,1,NN,compact
thick,97,102,in wuhu city which be partner with visionary vehicle a distributor base in new york city to sell thick for less than <nul>,1,NN,compact
thick,30,35,he pull out a woman 's powder thick and open the mirror lid,1,NN,compact
thick,38,43,do n't bring a radio unless it be the thick walkman type,1,JJ,compact
thick,103,108,at last week 's annual high fidelity music show at manhattan 's trade show building there be a raft of thick all-in-one hi-fi unit,1,JJ,compact
thick,29,34,bond reach down and take the thick from his hand,1,NN,compact
thick,67,72,the massachusetts legislature state that the people in that solemn thick which be declare to be the supreme law of the land have not constitute the state legislature the judge of the act or measure of the federal government,1,NN,compact
thick,4,9,the thick auto design to stop the imported car invasion feature an air-cooled rear engine make largely of aluminum,1,JJ,compact
thick,25,30,lydia fetch her mother a thick mirror remove the powder puff before she place it in her hand,1,JJ,compact
thick,60,65,## thanks to inflation and the continue energy shortage the thick car seem here to stay,1,JJ,compact
thick,77,82,the backlog have create a perfect opening for fokker which start produce the thick fokker 100 jetliner in 1987,1,NN,compact
thick,107,112,but it should get the two state and the federal government start on negotiation of an effective interstate thick to bring the hudson river back to life,1,NN,compact
thick,37,42,anyone who be crunch into a european thick can testify that car be small there,1,NN,compact
thick,157,162,likud official who reportedly offer to rotate the office of prime minister between shamir and weizman if the maverick would side with them be incense by the thick,1,NN,compact
thick,18,23,mama pull out her thick and look at herself the minute we get back in the car,1,NN,compact
thick,53,58,the mediterranean region present a very well-defined thick area of twelve pine,1,JJ,compact
thick,108,113,the state 's remaining elector would be elect by people in single-member district compose of contiguous and thick territory contain as nearly as practicable the number of person which entitle the state to one representative in congress,1,JJ,compact
thick,17,22,lip gloss powder thick mascara hair spray ...,1,NN,compact
thick,38,43,she choose energy-efficient appliance thick fluorescent bulb save up to 70 percent on her lighting cost and install a light pipe to bring sunlight from the roof to her kitchen - eliminate the,1,NN,compact
thick,112,117,78 nrdc far contend that the mere exchange of information would not substitute for bind interstate agreement or thick to abate transboundary <nul>,1,NN,compact
thick,111,116,inspire by the sport car craze detroit automaker create a new breed of small racy relatively inexpensive sport thick car for young and old alike,1,NN,compact
thick,14,19,instead of be thick and clear and sweet as the natural lake of the region sir john 's be warm murky and foul-smelling,2,JJ,deep
thick,51,56,in a few year or even less you will have get in so thick with priscilla that you will n't want anyone else,2,JJ,deep
thick,8,13,somehow thick inside of me i want some tear to come out for him,2,JJ,deep
thick,42,47,one night he awake and go into a state of thick contemplation,2,JJ,deep
thick,30,35,he be fully clothe and appear thick in think,2,NN,deep
thick,21,26,hinduism thus retain thick root in popular feel make it pretty well proof against the argument of moslem and later of christian missionary,2,JJ,deep
thick,114,119,they do not need to confess that anytime their flesh touch a simple caress a brush of the hand their thought bore thick through the skin and into the code of damaged chromosome,2,NN,deep
thick,12,17,his face be thick red with his righteousness big and blinding as the sun,2,JJ,deep
thick,53,58,he rub his head scratch under his short beard take a thick breath,2,JJ,deep
thick,28,33,michael and myriam be alone thick in a kiss,2,JJ,deep
thick,16,21,and he feel too thick and simple patriotic stirring perhaps if he carry enough heavy pipe quickly enough the fall of hitler and tojo might be hasten,2,JJ,deep
thick,54,59,long popular with backwoodsman as a way to operate in thick snow snowshoe have a new look and feel thanks to space-age material such as carbon fiber use in frame titanium crampon and hypalon deck,2,NN,deep
thick,45,50,'s career head perhaps for the scoreboard in thick right-center field,2,JJ,deep
thick,138,143,the rumbly noise get louder and the light be very bright so bright that stingray plastic and lumphy have to squinch up their eye and take thick breath before they can see where they be,2,JJ,deep
thick,0,5,thick recess for each fastener photo 16 then bore pilot hole for the screw and install the hardware,2,JJ,deep
thick,15,20,something turn thick inside mary 's breast and her shrunken heart expand so suddenly it seem about to burst,2,JJ,deep
thick,105,110,the suit fascinate me because i have always picture it as photo-album gray when in fact it be a rich and thick brown,2,JJ,deep
thick,71,76,of wing at my back and feel her will dissolve into tear and some great thick sorrow like rose drown in the salt of the sea come flooding from her womb and wash into me like a sweet honey of balm for all the bitter sore of my soul and for the first time in my life without pass through fire or strain the stone of my will i come up from my body rather than down from my mind i could not stop some shield break in me bliss and the honey she have give me i could only give back all sweet to her womb all come in her cunt,2,JJ,deep
thick,59,64,sure sign p56 of aquifer but it take an expert to know how thick and whether they be whited,2,JJ,deep
thick,83,88,and then she bury her face in her hand and like any other human be break down into thick heave sob,2,JJ,deep
thick,111,116,between them and the fire bulldozer be crawl back and forth on the face of the mountain cut a firebreak in the thick brush,2,NN,deep
thick,90,95,the meeting frank e. dalton the district 's deputy chief engineer who be in charge of the thick tunnel project say that the japanese bid be 44 pr cent low than the american bid,2,JJ,deep
thick,13,18,the shade be thick and satisfying and the wall cover with,2,JJ,deep
thick,99,104,as the power shortage worsen and the queen proclaim a state of emergency more and more briton feel thick resentment toward the worker,2,JJ,deep
thick,58,63,this give their design an interplay of airy lightness and thick shadow result in dramatic <nul>,2,JJ,deep
thick,14,19,they can do a thick search and charge you with failure to disclose some petty offense,2,NN,deep
thick,43,48,she be have a difficult time negotiate the thick snow,2,NN,deep
thick,44,49,now with daunte culpepper the threat of the thick ball become a factor .....,2,NN,deep
thick,7,12,he cut thick step into the hill above the excavation so that the entire cavity measure five meter along the bottom edge and twelve meter along each side,2,JJ,deep
thick,61,66,today the project be still only one-quarter complete leave a thick gash in the countryside that look as if it have be capriciously make by the knife of some vengeful god,2,JJ,deep
sweet,191,196,eager finger stroke his skin he be engorge with the sugar-sweet so long deny and now he can n't get enough each niblet explode bright heat in his mouth his tongue his head he be drown in the sweet of it all,1,NN,sweetness
sweet,98,103,robards model on o'neill 's elder brother see through her sham and be strangely draw to her inner sweet and innocence,1,JJ,sweetness
sweet,4,9,the sweet of it all swing and neck and,1,NN,sweetness
sweet,34,39,your strength tom my darling your sweet your loveliness your love both your love your love your love subdue all thing my darling subdue all thing my darling your love your love your love subdue all thing,1,JJ,sweetness
sweet,116,121,see him do that ruth have put out her hand and say goodbye jonas with an air of such self-reproach that a bubble of sweet rose burst and wash the line of his nose and throat,1,NN,sweetness
sweet,8,13,eat the sweet berry out of hand top the tart one with a sprinkle of sugar and use any and all to add color freshness and a touch of sweet to dish range from pancake and parfaits to dip and salad,1,NN,sweetness
sweet,132,137,eat the sweet berry out of hand top the tart one with a sprinkle of sugar and use any and all to add color freshness and a touch of sweet to dish range from pancake and parfaits to dip and salad,1,NN,sweetness
sweet,50,55,but when she look at lionel she be overwhelm with sweet and innocent desire and her eye become wet with love and longing,1,NN,sweetness
sweet,52,57,they have branch out a little too the intense smoky sweet of butler smoke-dried roma tomato feature seven time on the food network and a careful selection of otlier locally produce food product draw a loyal clientele,1,NN,sweetness
sweet,117,122,a cold senegalese soup golden with curry have be pureed with banana a touch that add only the slight counterpoint of sweet plus a creamy texture,1,JJ,sweetness
sweet,40,45,all this have little of the pleasure of sweet that menotti intend,1,NN,sweetness
sweet,439,444,if crystal stream with pleasing murmur creep the reader 's threaten have not in vain with sleep then at the last and only couplet fraught with some unmeaning thing they call a think a needless alexandrine end the song that like a wound snake drag its slow length along leave such to tune their own dull rhyme and know what be roundly smooth or languishingly slow and praise the easy vigour of a line where denham 's strength and waller 's sweet join,1,JJ,sweetness
sweet,33,38,kiss me she say so he do tasting sweet on his tongue,1,VB,sweetness
sweet,116,121,the chef 's skill really show with the see-saw balance of the channa bhatura $13 a chickpea stew that have a subtle sweet that gently yield to a wave of chile-induced heat,1,NN,sweetness
sweet,21,26,kaufman bring a save sweet to the garage mechanic who speak his own variety of fracture english,1,NN,sweetness
sweet,48,53,perhaps that be what i love most about you your sweet,1,NN,sweetness
sweet,133,138,upon the baize cover table beside him a silver salver sit hold a decanter glass and fragrant mint for the senator love the beguiling sweet of a mint julep at bedtime,1,NN,sweetness
sweet,57,62,this baby be more delicate than her first but there be a sweet in her face that grip anne 's heart,1,JJ,sweetness
sweet,36,41,i find almost unbearablethe painful sweet of know that i shall one day possess in my own way what she believe to be entirely hers assume of course that rusty ever return,1,NN,sweetness
sweet,46,51,she wiggle her eyebrow up and down at him and sweet fill his mouth,1,VB,sweetness
sweet,36,41,she call after him with a plaintive sweet,1,NN,sweetness
sweet,124,129,the policeman be puzzled like most people he be susceptible to love and he feel in the air about him a heat and a startling sweet,1,NN,sweetness
sweet,126,131,the nun in the cork city convent have give agnes a dutiful love of fine music and the skill to play and to sing it with a win sweet,1,NN,sweetness
sweet,4,9,the sweet of her the sadness of her,1,NN,sweetness
sweet,61,66,test 25 to 45 variety they match the acidity of one with the sweet of another the weakness of one with another be strong alcoholic body,1,NN,sweetness
sweet,84,89,depart from his usual bilious bigotry bilbo request recognition to the intelligence sweet character ability and worth of the fair womanhood of mississippi,1,JJ,sweetness
sweet,53,58,she would glance down at me with her look of combine sweet and quizzical amusement and i would watch her hand and learn the tune,1,NN,sweetness
sweet,116,121,yet before genet 's arrival american be consider the polite people in the world resemble the british but with great sweet and less servility,1,JJ,sweetness
sweet,4,9,the sweet leave my head ache and my stomach woozy,1,NN,sweetness
sweet,89,94,when webb and cindy entertain built-in speaker bathe the downstairs room in a continuous sweet of string music and spineless arrangement of old show tune or mollify rock classic voiceless and seamless and with nagging dental associationsfor harry,1,NN,sweetness
sweet,155,160,nutrition per serving-protein 57 g fat 63 g carbohydrate 5.6 g fiber 1.3 g sodium 815 mg cholesterol 268.5 mg calory <nul> lemon meringue pie this classic sweet have delight american family since the early 1800s,2,NN,dessert
sweet,58,63,be this last most of all that would eventually become the sweet sweet eat at home by millions of english work people so that the standardization of such dish be a feature of the history both of english diet and of sugar itself,2,JJ,dessert
sweet,64,69,be this last most of all that would eventually become the sweet sweet eat at home by millions of english work people so that the standardization of such dish be a feature of the history both of english diet and of sugar itself,2,JJ,dessert
sweet,72,77,watch him dissect his fish but then fail to eat it notice how he refuse sweet and then benignly tolerantly wait for her to finish a giant chocolate mousse she have accuse him of,2,JJ,dessert
sweet,26,31,he have almost finish his sweet now and be about to ash if he might have another piece of pie as he would have do in the day that be go,2,NN,dessert
sweet,92,97,when judd green finally sign his check he notice that richie blossom and his group be order sweet,2,NN,dessert
sweet,130,135,a typical luncheon might consist of bucatini alia a matriciana tube of pasta in a sauce of tomato and bacon trout au gratin and a sweet,2,NN,dessert
sweet,137,142,he be afraid he might be give a cramped table near the kitchen where the draft from the swing door could blow the fashion model into the sweet cart,2,JJ,dessert
sweet,32,37,i should have buy something for sweet charles say,2,JJ,dessert
sweet,4,9,the sweet be fruit in some form -- apple sauce be a favorite,2,JJ,dessert
sweet,99,104,i could quibble about the doughy pizzetta with potato pecorino and white truffle oil $8.95 and the sweet all $7 but after the first experience it be like compare gary danko to a daly city diner,2,JJ,dessert
sweet,55,60,in medieval banquet mead write the place assign to the sweet insofar as it p132 exist appear to have be a matter of indifference,2,NN,dessert
sweet,115,120,* suppertime admission get you a four-course meal garlic bread vegetable soup roasted chicken a rib a baked potato sweet and a soda water or coffee,2,NN,dessert
sweet,116,121,77 cook cuisine and class the ordinary meal consist of the one dish there be no starter no after no hor d'oeuvre no sweet,2,NN,dessert
sweet,54,59,she keep press him eat some more but save a place for sweet,2,NN,dessert
sweet,376,381,it include a delicate chicken salad give crunch with finely mince almond and walnut the mayor ' s caesar salad heady with the garlic flavor that almost anesthetize one palate a platter of simple cheese decorate with an apple carve to resemble a chicken and a kalei@doscopic fruit platter present with a yogurt and honey dip scent with mace and cinnamon - a beautiful idea for sweet but perhaps just a little bizarre when offer instead of crudites with wine as the mayor prefer it,2,JJ,dessert
sweet,81,86,wine idea set aside the maple syrup and pour a glass of passito di pantelleria a sweet wine make from sun-dried moscato grape on an island off of sicily,2,JJ,dessert
sweet,158,163,as for interruption at meal for him there be absolutely nothing do when he be once in his chair at the table he leave it only when the last bite of cheese or sweet be down,2,NN,dessert
sweet,193,198,they come back to london every year or two after they be married and the city for him always be audie at the rail of the launch ring the name of parliament of building and bridge decorate like sweet -- there now cal the tower of london the tower bridge -- design to be serve by man wear pantaloons and nutty hat fit for an english queen,2,NN,dessert
sweet,23,28,brody carry a stack of sweet dish into the kitchen set them on the sink and say well that be all right,2,JJ,dessert
sweet,100,105,restaurant join in the activity by offer special to gallerygoers such as two-for-one entree or free sweet,2,NN,dessert
sweet,127,132,joao pires white palmela wine -- muscat grape from portugal 's arrbida peninsula have traditionally be use to make the fortify sweet wine moscatel de setubal -- that be until the innovative joao pires firm come up with the idea of bottling a dry light table wine from muscat in the early ' 80s,2,JJ,dessert
sweet,102,107,// in west germany authority have find 44 different label of west german wine - all of them expensive sweet white sweet wine mostly of the auslese and beerenauslese variety produce in limited quantity to be contaminate with diethylene glycol a poisonous chemical use in some <nul>,2,JJ,dessert
sweet,114,119,// in west germany authority have find 44 different label of west german wine - all of them expensive sweet white sweet wine mostly of the auslese and beerenauslese variety produce in limited quantity to be contaminate with diethylene glycol a poisonous chemical use in some <nul>,2,JJ,dessert
sweet,51,56,come down and i will make the rich darke chocolate sweet i know how to fix and you will n't have to share a bite of it with anyone else,2,NN,dessert
sweet,90,95,each night after supper i have be her captive audience while the artiste ready the sloppy sweet to be serve in the library some ritual that go back to daddy or to dobbin 's day,2,NN,dessert
sweet,27,32,le bar laugh look over the sweet a marshall 's check come in on time,2,NN,dessert
sweet,50,55,cream almond pastry darloy or maid in wait be for sweet,2,JJ,dessert
sweet,112,117,at groppi ' s a popular pastry and coffee shop downtown throng of middle-class egyptian besiege sales clerk for sweet to be eat at iftar the meal that break the <nul>,2,NN,dessert
sweet,0,5,sweet as on the following night be watermelon,2,NN,dessert
sun,61,64,they figure they have find a perfect life blend juice in the sun spend day on the water and never have to leave their idyllic island,1,JJ,sunshine
sun,84,87,in one of only two dramatic moment in the whole soporific confirmation process -- a sun boy style spit with the committee chairman arlen specter -- mr.- kennedy threaten to subpoena cap document in the possession of the library of congress to hunt down judge alito 's bigotry,1,JJ,sunshine
sun,54,57,i be glad he say give her another smile like a ray of sun,1,NN,sunshine
sun,48,51,clinton i have like to think i be cast a little sun over it,1,NN,sunshine
sun,74,77,the other castle be a friendly yellow-brickone which sit right out in the sun but it have the requisite number of battlement and turret and even a moat,1,NN,sunshine
sun,116,119,rosie stab at a fat black olive then set the fork on her salad plate stare at the line of car idle in the afternoon sun,1,NN,sunshine
sun,38,41,they be in his wife 's favorite color sun yellow,1,NN,sunshine
sun,98,101,chung hee park declare that member should transcend difference in ideology in order to spread the sun of peace throughout the region,1,NN,sunshine
sun,23,26,they stand in the late sun a ragged crew of sun-browned man their horny hand hang while they bow to him,1,NN,sunshine
sun,20,23,despite the lack of sun she could somehow perceive in full color a wild ecology,1,NN,sunshine
sun,27,30,but dicaprio spokesman ken sun say the actor arrive at the white house expect to interview clinton walk or sit and come prepare with card bear question,1,NNS,sunshine
sun,34,37,achmat gamaldien also know as the sun boy,1,NN,sunshine
sun,62,65,vs'c certainly make a color -- ful sight sit and stand in the sun with miss liberty above us,1,NN,sunshine
sun,82,85,when she stir her coffee with a kitchen knife that be handy the reflection of the sun on the blade flash across the wall like a fish in a pool and her uncle shift his eye to that,1,NN,sunshine
sun,49,52,one second you can be blissfully stand in golden sun with butterfly flit around you and the next second whap,1,NN,sunshine
sun,23,26,it be so saturate with sun that it look hot and uninviting,1,NN,sunshine
sun,115,118,so honey he say we tell you all about the circus and what we do and you tell us some of your little thing rain and sun omelette for lunch get lose on the metro come back,1,NN,sunshine
sun,20,23,according to steven sun the earnest 38-year-old president and ceo of cyrano his company 's handheld detector promise not only a welcome reprieve for the nurse but also vastly improve accuracy in halitosis research,1,PDT,sunshine
sun,146,149,there be an odor of flesh not altogether clean and yet not altogether unpleasant the odor of perspiration that have dry mix with the odor of soil sun vegetation unlaundered clothes,1,NN,sunshine
sun,96,99,when i get to the bottom of the stair i pull our heavy front door open and slip out into bright sun,1,NN,sunshine
sun,522,525,and it seem as if for the world not just me or the imaginary painter <nul> me yes for the entire world narrative have end those smug french nihilist with their ton of language theory any one of them pontificatingly lecture while puff a gitane on the dais of the auditorium fill with other attentively listen french nihilist seat in the gallery and also puff smelly gitanes in that fine buff stone bastion of supreme nihilism the collge de france on rue des coles there in paris lavender rain in paris strikingly brilliant sun in paris what do it matter,1,NN,sunshine
sun,151,154,he be work on his doctoral thesis and write a screenplay film be a booming business among industry type eager to take advantage of miami 's year-round sun while abuse their expense account,1,NN,sunshine
sun,102,105,two horse have snort a greeting when sam have pass by on her way to the damaged tack room to get dark sun 's halter,1,NN,sunshine
sun,65,68,the small branch and twig display the leaf to the atmosphere and sun so that photosynthesis may occur <nul>,1,NN,sunshine
sun,109,112,we be tell that the ozone hole be important because the ozone blanket block much of the ultraviolet light in sun which if it penetrate to the earth 's surface could cause skin cancer eye problem and plant damage note dr.-i dixie lee ray former chairman of the atomic energy commission,1,NN,sunshine
sun,36,39,the air smell fresh of sea salt and sun,1,NN,sunshine
sun,105,108,they then launch into an extend medley that move through truckin ' ' the other one ' wharf rat ' and the sun daydream ' section of sugar magnolia ',1,NN,sunshine
sun,114,117,he say that he can n't really sing but sometimes he leap onstage with band in las vegas and belt out a kc and the sun band chorus or two,1,NN,sunshine
sun,115,118,they seem to be wander off bandy-legged from their spouse down the dock plank arm fold face querulous in the mealy sun their natural jersey pessimism work up a fear that the day might go wrong -- in fact could n't go right,1,VBD,sunshine
sun,26,29,trout and oriah rose love sun violet love dew angel in heaven know i love you.know i love you dear know i love <nul> in heaven know i love you,1,JJ,sunshine
sun,74,77,the cage be right above my bed next to the window so the bird could enjoy sun and it be sunny about ten minute a week from what i could tell,2,NN,sunlight
sun,39,42,two-thirds of the way up he cross into sun,2,NN,sunlight
sun,52,55,the satellite generate the electricity it need from sun at that height it be always in sun except for brief eclipse in the spring and fall,2,NN,sunlight
sun,87,90,the satellite generate the electricity it need from sun at that height it be always in sun except for brief eclipse in the spring and fall,2,NN,sunlight
sun,30,33,the first pale shadow form by sun be like answer to prayer,2,JJ,sunlight
sun,135,138,whereupon we deliver a thorough account of our other 's whereabouts quickly including context as if embarrassed to be catch out in the sun with only half a shadow he ride into town,2,NN,sunlight
sun,48,51,the display could be brighter however in bright sun image can appear faint,2,JJ,sunlight
sun,53,56,we come out of the dimness of the church into bright sun,2,NN,sunlight
sun,57,60,otis go to the door yank it open and charge out into the sun,2,NN,sunlight
sun,18,21,the first beam of sun streak the sparse grass in the front yard and stretch shadow westward toward the beach,2,NN,sunlight
sun,48,51,he examine psychiatrically the world glimpse of sun jerk of nerve taste of lump in cereal passage of time and leap of day,2,JJ,sunlight
sun,21,24,at this depth enough sun reach the wreck to sustain an abundant dazzling growth of coral so much that it virtually change the old hulk from what it be into a startling solitary reef,2,NN,sunlight
sun,177,180,but everywhere we know on the map be mountain with vertical face and thunderous waterfall escutcheon of burn house and suicidal army history clatter in contradistinction to the sun melt itself in the,2,NN,sunlight
sun,180,183,he be beautiful a quarter-horse gelding nearly seventeen hand high the grandson of the nationally famous two-eyed jack a blue roan with rust-colored marking on his face who in the sun look like he be sculpt out of oreo cookie ice cream,2,JJ,sunlight
sun,136,139,he be glad for that much shade he have in fact pick this land site rather than a clear spot because of it so he would n't fry in direct sun,2,NN,sunlight
sun,138,141,move day anew-car smell persist in the disinfect air the silence be break only by the distant noise of man install the last few telephone sun blaze in through big window on dozens of never-been-slept-in bed,2,NN,sunlight
sun,14,17,edna note the sun pour through the window eye her,2,NN,sunlight
sun,33,36,sonny singer be hold off because sun gardener have tell him to and that be another reason to get out of here in a <nul>,2,NN,sunlight
sun,64,67,she continue to stare at the dust particle trap in the shaft of sun,2,NN,sunlight
sun,139,142,peer more closely briefly even forget the tantrumic consequence of him catch her even glance at his work she see that frame by a square of sun a neat pile of stave sheet lay on the leather blotter in the middle of the desk,2,NN,sunlight
sun,55,58,she sit in a chair across the room from him out of the sun,2,NN,sunlight
sun,20,23,the girl in morning sun be vivid familiar as though he have be with her yesterday a sad blow to experience,2,NN,sunlight
